customer_id,region,city,age_group,gender,is_returning,frequency,monetary,last_order_date,avg_rating,total_profit,segment
CUST0343,West,Pune,36-45,Male,1,9,52406.9,2024-05-05,4.333333333333333,10606.41,Medium Value
CUST0060,West,Surat,55+,Female,0,9,40487.0,2024-02-22,4.333333333333333,12447.560000000001,Medium Value
CUST1068,West,Surat,55+,Male,0,11,37497.9,2024-06-10,3.8181818181818183,7672.9,Medium Value
CUST0659,West,Nagpur,55+,Male,1,4,14231.55,2023-07-23,3.75,3569.34,Low Value
CUST1117,East,Guwahati,26-35,Male,0,5,46214.0,2024-01-09,4.8,9239.31,Low Value
CUST0751,East,Ranchi,36-45,Male,0,7,16796.55,2024-04-22,3.4285714285714284,4629.0,Medium Value
CUST1139,North,Amritsar,26-35,Male,0,10,52184.95,2024-04-22,4.1,10907.070000000002,Medium Value
CUST0651,North,Chandigarh,18-25,Female,0,8,58839.65,2024-06-12,3.625,15533.840000000002,Medium Value
CUST0426,West,Pune,26-35,Male,0,5,13020.65,2024-02-12,3.0,3515.3399999999997,Low Value
CUST0670,North,Amritsar,55+,Male,0,10,21118.2,2024-06-24,4.3,5126.77,Medium Value
CUST0063,North,Chandigarh,36-45,Male,0,7,17251.95,2024-04-09,4.142857142857143,3867.63,Medium Value
CUST0484,East,Bhubaneswar,55+,Female,1,9,28661.3,2024-06-14,4.222222222222222,7046.7,Medium Value
CUST0520,West,Surat,26-35,Male,0,9,30629.25,2024-06-10,3.888888888888889,8493.22,Medium Value
CUST0872,West,Mumbai,46-55,Male,0,7,46591.200000000004,2024-04-01,3.857142857142857,9689.230000000001,Medium Value
CUST0968,East,Bhubaneswar,26-35,Other,0,8,23318.1,2024-06-16,3.25,6290.07,Medium Value
CUST0457,Central,Jabalpur,26-35,Male,1,9,95033.0,2024-02-26,3.888888888888889,25168.399999999994,Medium Value
CUST0649,North,Jaipur,55+,Male,0,7,19585.45,2024-04-22,3.7142857142857144,4420.92,Medium Value
CUST0381,East,Patna,36-45,Male,0,9,29047.65,2023-10-20,4.0,7307.869999999999,Medium Value
CUST0019,South,Coimbatore,18-25,Male,1,5,20030.4,2024-06-22,3.2,4341.71,Low Value
CUST1081,West,Mumbai,26-35,Male,1,7,17325.300000000003,2024-05-21,3.857142857142857,4895.84,Medium Value
CUST0297,South,Hyderabad,26-35,Female,0,3,11064.65,2024-04-09,5.0,2389.0299999999997,Low Value
CUST0144,North,Lucknow,46-55,Male,0,5,14602.050000000001,2024-05-05,3.6,3783.5200000000004,Low Value
CUST0310,North,Chandigarh,18-25,Female,1,9,67568.29999999999,2024-05-12,3.2222222222222223,16306.53,Medium Value
CUST0867,East,Kolkata,26-35,Male,0,9,61260.85,2024-06-07,4.111111111111111,14657.300000000001,Medium Value
CUST0352,East,Patna,36-45,Male,0,7,32808.55,2024-06-10,4.428571428571429,10169.689999999999,Medium Value
CUST0628,North,Jaipur,26-35,Male,1,7,62742.0,2024-06-02,3.4285714285714284,18748.019999999997,Medium Value
CUST0221,North,Lucknow,26-35,Male,0,6,25180.4,2024-05-17,4.333333333333333,5847.7300000000005,Medium Value
CUST0736,West,Mumbai,26-35,Female,1,8,20247.5,2024-06-05,4.0,5049.6,Medium Value
CUST0395,South,Hyderabad,36-45,Male,0,10,47003.7,2024-06-11,3.5,12245.800000000001,Medium Value
CUST0448,West,Surat,46-55,Female,0,9,27833.15,2024-04-12,3.4444444444444446,8791.480000000001,Medium Value
CUST0209,West,Nagpur,46-55,Female,0,8,27979.9,2024-04-27,4.375,5719.879999999999,Medium Value
CUST0546,East,Kolkata,46-55,Male,0,7,15565.300000000001,2024-04-05,4.571428571428571,3406.68,Medium Value
CUST0874,Central,Indore,55+,Female,0,6,19040.25,2024-02-12,4.166666666666667,3960.14,Medium Value
CUST0783,East,Bhubaneswar,26-35,Female,1,13,30364.4,2023-12-21,3.923076923076923,6835.6500000000015,Medium Value
CUST0464,South,Coimbatore,18-25,Male,0,9,41988.950000000004,2024-05-20,4.0,9532.65,Medium Value
CUST1164,Central,Indore,55+,Male,0,7,15098.449999999999,2024-06-17,3.857142857142857,3648.6499999999996,Medium Value
CUST0597,South,Hyderabad,55+,Female,1,6,38743.7,2024-05-01,4.5,10765.960000000001,Medium Value
CUST0355,East,Guwahati,46-55,Male,0,4,7063.85,2023-08-31,3.5,1468.3200000000002,Low Value
CUST0370,West,Pune,18-25,Male,0,11,25220.799999999996,2024-04-17,4.454545454545454,6407.170000000001,Medium Value
CUST0154,South,Chennai,18-25,Female,0,10,36584.95,2024-04-27,3.6,8525.32,Medium Value
CUST0660,North,Chandigarh,36-45,Male,0,7,16490.4,2024-03-13,3.4285714285714284,3670.31,Medium Value
CUST0102,North,Lucknow,18-25,Male,0,9,50599.55,2023-11-06,4.0,14291.64,Medium Value
CUST0367,South,Bangalore,18-25,Male,0,11,52816.05,2024-03-16,4.181818181818182,14703.800000000001,Medium Value
CUST0652,East,Patna,26-35,Female,0,9,38136.85,2024-04-21,3.5555555555555554,11708.9,Medium Value
CUST0450,East,Guwahati,46-55,Female,0,6,17338.65,2024-03-04,3.5,3006.42,Medium Value
CUST0850,West,Surat,55+,Female,1,10,64293.049999999996,2024-04-22,2.9,17737.899999999998,Medium Value
CUST0661,South,Chennai,46-55,Female,1,8,21530.55,2024-04-03,4.0,4789.63,Medium Value
CUST1125,South,Chennai,46-55,Female,0,12,60583.7,2024-05-01,3.75,16218.800000000001,Medium Value
CUST0960,West,Mumbai,55+,Male,0,12,46674.850000000006,2024-05-18,3.0833333333333335,10497.600000000002,Medium Value
CUST0032,West,Surat,26-35,Male,1,7,21681.0,2024-05-17,3.0,6740.330000000002,Medium Value
CUST1010,West,Surat,55+,Male,0,6,45754.899999999994,2024-04-08,3.0,8162.120000000001,Medium Value
CUST0269,East,Ranchi,55+,Male,0,12,43597.55,2024-06-07,4.0,10915.419999999998,Medium Value
CUST0194,North,Jaipur,55+,Male,1,5,12540.0,2024-06-22,3.8,2827.34,Low Value
CUST0394,Central,Indore,46-55,Female,1,9,29676.449999999997,2024-06-05,3.6666666666666665,5407.049999999999,Medium Value
CUST0604,West,Surat,18-25,Female,0,6,46919.99999999999,2024-05-22,3.3333333333333335,13920.54,Medium Value
CUST1132,South,Chennai,18-25,Female,0,6,16528.050000000003,2024-04-28,4.166666666666667,4462.92,Medium Value
CUST0104,North,Amritsar,26-35,Male,0,11,31895.800000000003,2024-06-11,4.0,6878.620000000001,Medium Value
CUST0476,Central,Indore,46-55,Female,0,5,46332.1,2024-05-09,4.4,9388.67,Low Value
CUST0938,South,Kochi,26-35,Male,0,8,19433.55,2024-05-06,3.125,5275.279999999999,Medium Value
CUST0814,East,Patna,26-35,Male,1,8,18563.1,2024-06-18,3.625,4158.38,Medium Value
CUST0341,North,Lucknow,18-25,Male,0,4,11282.1,2024-04-15,3.75,2896.25,Low Value
CUST0583,West,Nagpur,18-25,Female,1,8,20853.449999999997,2024-03-16,4.0,4599.49,Medium Value
CUST1015,West,Pune,36-45,Female,1,12,47667.299999999996,2024-05-17,3.8333333333333335,12219.619999999999,Medium Value
