month,orders,total_sales,avg_sales,total_profit
2023-01,399,1638804.55,4107.28,419115.55
2023-02,447,1553318.05,3474.98,413613.36
2023-03,447,1430943.1,3201.21,348422.47
2023-04,468,1864305.75,3983.56,472228.88
2023-05,531,2103413.0,3961.23,537489.89
2023-06,536,1987147.6,3707.36,488723.98
2023-07,483,1682257.8,3482.94,429757.13
2023-08,510,1854635.35,3636.54,452378.47
2023-09,497,1732587.95,3486.09,423167.52
2023-10,475,1770443.4,3727.25,453128.8
2023-11,470,1610601.1,3426.81,411482.26
2023-12,482,1792766.8,3719.43,438096.16
2024-01,459,1689076.15,3679.9,436996.45
2024-02,471,1719684.25,3651.13,419029.46
2024-03,522,2019469.45,3868.72,521525.24
2024-04,454,1689235.05,3720.78,421565.92
2024-05,456,1676950.25,3677.52,421607.61
2024-06,393,1349524.3,3433.9,333816.84
