product_id,product_name,category,orders,total_sales,avg_rating
P011,Office Desk Chair,Furniture,112,2773041.85,3.93
P006,Men's Running Shoes,Clothing,539,2746523.7,3.77
P001,Wireless Earbuds,Electronics,691,2503043.1,3.86
P008,Denim Jacket,Clothing,442,2173012.1,3.85
P007,Women's Kurta Set,Clothing,774,2132865.0,3.85
P010,Cotton Hoodie,Clothing,545,1908945.45,3.87
P004,Mechanical Keyboard,Electronics,261,1862754.6,3.8
P013,Study Table,Furniture,89,1720704.15,3.69
P005,Webcam HD,Electronics,339,1488189.3,3.83
P012,Bookshelf 5-Tier,Furniture,109,1373491.35,3.91
