customer_id,name,age_group,gender,region,city,registration_date,is_returning
CUST0001,Customer_0001,26-35,Male,South,Coimbatore,2023-04-15,0
CUST0002,Customer_0002,55+,Female,South,Kochi,2023-01-24,1
CUST0003,Customer_0003,26-35,Male,Central,Jabalpur,2023-01-24,1
CUST0004,Customer_0004,46-55,Female,North,Jaipur,2023-06-01,0
CUST0005,Customer_0005,55+,Male,South,Bangalore,2023-02-09,1
CUST0006,Customer_0006,36-45,Male,West,Surat,2023-06-24,0
CUST0007,Customer_0007,36-45,Other,North,Chandigarh,2023-05-24,1
CUST0008,Customer_0008,55+,Male,South,Bangalore,2023-01-22,0
CUST0009,Customer_0009,46-55,Female,North,Chandigarh,2023-04-03,0
CUST0010,Customer_0010,18-25,Male,West,Mumbai,2023-05-10,1
CUST0011,Customer_0011,46-55,Female,West,Mumbai,2023-06-26,0
CUST0012,Customer_0012,36-45,Male,East,Guwahati,2023-03-22,1
CUST0013,Customer_0013,26-35,Male,West,Mumbai,2023-02-22,1
CUST0014,Customer_0014,36-45,Female,West,Pune,2023-04-15,1
CUST0015,Customer_0015,26-35,Female,North,Amritsar,2023-01-16,1
CUST0016,Customer_0016,36-45,Male,North,Chandigarh,2023-02-02,0
CUST0017,Customer_0017,55+,Male,North,Chandigarh,2023-04-16,1
CUST0018,Customer_0018,36-45,Male,West,Mumbai,2023-03-02,0
CUST0019,Customer_0019,18-25,Male,South,Coimbatore,2023-05-10,1
CUST0020,Customer_0020,46-55,Male,South,Kochi,2023-04-14,0
CUST0021,Customer_0021,36-45,Female,North,Delhi,2023-05-18,1
CUST0022,Customer_0022,36-45,Male,North,Chandigarh,2023-04-25,0
CUST0023,Customer_0023,46-55,Male,West,Pune,2023-02-26,0
CUST0024,Customer_0024,18-25,Male,South,Hyderabad,2023-04-24,0
CUST0025,Customer_0025,46-55,Female,East,Patna,2023-05-04,1
CUST0026,Customer_0026,36-45,Male,West,Pune,2023-06-19,1
CUST0027,Customer_0027,26-35,Male,West,Surat,2023-06-09,0
CUST0028,Customer_0028,36-45,Other,North,Jaipur,2023-03-31,0
CUST0029,Customer_0029,46-55,Female,West,Ahmedabad,2023-06-21,0
CUST0030,Customer_0030,46-55,Male,West,Ahmedabad,2023-04-16,1
CUST0031,Customer_0031,36-45,Female,North,Amritsar,2023-05-18,0
CUST0032,Customer_0032,26-35,Male,West,Surat,2023-05-12,1
CUST0033,Customer_0033,55+,Female,East,Ranchi,2023-05-01,0
CUST0034,Customer_0034,18-25,Female,Central,Raipur,2023-01-07,0
CUST0035,Customer_0035,55+,Female,South,Coimbatore,2023-04-18,0
CUST0036,Customer_0036,46-55,Female,Central,Jabalpur,2023-01-27,0
