order_id,customer_id,region,city,product_id,product_name,category,quantity,unit_price,discount,sales,profit,ship_mode,order_date,delivery_date,rating
ORD00001,CUST0343,West,Pune,P005,Webcam HD,Electronics,3,1599,0.05,4557.15,1140.32,Standard,2023-04-20,2023-04-25,5
ORD00002,CUST0060,West,Surat,P017,Business Strategy,Books,5,399,0.1,1795.5,674.63,Express,2023-04-25,2023-04-27,5
ORD00003,CUST1068,West,Surat,P016,Data Science Handbook,Books,2,699,0.1,1258.2,460.85,Overnight,2023-05-07,2023-05-08,3
ORD00004,CUST0659,West,Nagpur,P006,Men's Running Shoes,Clothing,1,1899,0,1899,633.43,Standard,2023-05-07,2023-05-12,5
ORD00005,CUST1117,East,Guwahati,P013,Study Table,Furniture,4,6999,0.2,22396.8,4338.51,Standard,2023-04-29,2023-05-04,5
ORD00006,CUST0751,East,Ranchi,P005,Webcam HD,Electronics,2,1599,0.2,2558.4,658.52,Express,2023-04-09,2023-04-11,3
ORD00007,CUST1139,North,Amritsar,P005,Webcam HD,Electronics,5,1599,0.1,7195.5,2650.43,Express,2023-08-06,2023-08-08,4
ORD00008,CUST0651,North,Chandigarh,P020,Fitness Dumbbells,Sports,4,1999,0,7996,2782.54,Standard,2024-03-07,2024-03-12,5
ORD00009,CUST0426,West,Pune,P001,Wireless Earbuds,Electronics,4,1299,0.1,4676.4,1122.1,Overnight,2023-04-30,2023-05-01,3
ORD00010,CUST0670,North,Amritsar,P001,Wireless Earbuds,Electronics,3,1299,0,3897,706.17,Express,2023-12-01,2023-12-03,5
ORD00011,CUST0063,North,Chandigarh,P003,USB-C Hub,Electronics,2,699,0.2,1118.4,360.28,Express,2023-05-07,2023-05-09,4
ORD00012,CUST0484,East,Bhubaneswar,P008,Denim Jacket,Clothing,2,1799,0.1,3238.2,906.66,Same Day,2023-05-02,2023-05-02,4
ORD00013,CUST0520,West,Surat,P003,USB-C Hub,Electronics,3,699,0.25,1572.75,498.51,Standard,2023-12-30,2024-01-04,4
ORD00014,CUST0872,West,Mumbai,P007,Women's Kurta Set,Clothing,2,999,0.1,1798.2,329.98,Express,2023-04-21,2023-04-23,3
ORD00015,CUST0968,East,Bhubaneswar,P001,Wireless Earbuds,Electronics,1,1299,0.25,974.25,313.02,Express,2024-06-16,2024-06-18,5
ORD00016,CUST0457,Central,Jabalpur,P011,Office Desk Chair,Furniture,5,8999,0.05,42745.25,14967.06,Overnight,2023-02-18,2023-02-19,4
ORD00017,CUST0649,North,Jaipur,P001,Wireless Earbuds,Electronics,1,1299,0,1299,233.56,Express,2023-01-30,2023-02-01,4
ORD00018,CUST0381,East,Patna,P001,Wireless Earbuds,Electronics,3,1299,0,3897,1370.57,Standard,2023-08-30,2023-09-04,2
ORD00019,CUST0019,South,Coimbatore,P017,Business Strategy,Books,3,399,0.25,897.75,246.92,Standard,2023-09-29,2023-10-04,5
ORD00020,CUST1081,West,Mumbai,P003,USB-C Hub,Electronics,5,699,0.1,3145.5,570.97,Express,2023-11-16,2023-11-18,4
ORD00021,CUST0297,South,Hyderabad,P003,USB-C Hub,Electronics,2,699,0,1398,323.47,Standard,2024-01-12,2024-01-17,5
ORD00022,CUST0144,North,Lucknow,P017,Business Strategy,Books,1,399,0.15,339.15,93.35,Same Day,2023-07-29,2023-07-29,4
ORD00023,CUST0310,North,Chandigarh,P015,Python Programming,Books,1,499,0.2,399.2,118.95,Express,2023-10-04,2023-10-06,3
ORD00024,CUST0867,East,Kolkata,P015,Python Programming,Books,5,499,0.05,2370.25,508.13,Overnight,2023-11-26,2023-11-27,5
ORD00025,CUST0352,East,Patna,P018,Cricket Bat,Sports,3,1499,0.15,3822.45,956.38,Standard,2024-06-10,2024-06-15,4
ORD00026,CUST0628,North,Jaipur,P016,Data Science Handbook,Books,3,699,0.1,1887.3,245.69,Express,2023-05-12,2023-05-14,4
ORD00027,CUST0221,North,Lucknow,P016,Data Science Handbook,Books,2,699,0,1398,420.81,Express,2024-05-17,2024-05-19,5
ORD00028,CUST0736,West,Mumbai,P009,Yoga Pants,Clothing,2,899,0.1,1618.2,239.49,Overnight,2024-05-28,2024-05-29,4
ORD00029,CUST0395,South,Hyderabad,P018,Cricket Bat,Sports,5,1499,0,7495,2546.71,Express,2023-01-24,2023-01-26,2
ORD00030,CUST0448,West,Surat,P020,Fitness Dumbbells,Sports,5,1999,0,9995,3688.35,Standard,2024-03-05,2024-03-10,3
ORD00031,CUST0209,West,Nagpur,P008,Denim Jacket,Clothing,5,1799,0.15,7645.75,1169.76,Same Day,2023-08-16,2023-08-16,5
ORD00032,CUST0546,East,Kolkata,P008,Denim Jacket,Clothing,1,1799,0,1799,235.85,Same Day,2023-04-16,2023-04-16,3
ORD00033,CUST0874,Central,Indore,P020,Fitness Dumbbells,Sports,1,1999,0.1,1799.1,502.78,Standard,2023-11-19,2023-11-24,5
ORD00034,CUST0783,East,Bhubaneswar,P015,Python Programming,Books,5,499,0.1,2245.5,347.65,Express,2023-09-09,2023-09-11,3
ORD00035,CUST0464,South,Coimbatore,P014,Bedside Table,Furniture,1,3299,0.15,2804.15,577.08,Standard,2023-05-20,2023-05-25,5
ORD00036,CUST1164,Central,Indore,P002,Laptop Stand,Electronics,4,899,0,3596,739.5,Overnight,2023-07-05,2023-07-06,4
ORD00037,CUST0597,South,Hyderabad,P013,Study Table,Furniture,4,6999,0.05,26596.2,7208.02,Overnight,2023-06-29,2023-06-30,5
ORD00038,CUST0355,East,Guwahati,P015,Python Programming,Books,3,499,0.25,1122.75,146.96,Express,2023-08-31,2023-09-02,5
ORD00039,CUST0370,West,Pune,P007,Women's Kurta Set,Clothing,5,999,0.25,3746.25,1035.24,Express,2023-04-29,2023-05-01,5
ORD00040,CUST0154,South,Chennai,P017,Business Strategy,Books,5,399,0.1,1795.5,376.32,Express,2023-04-22,2023-04-24,3
ORD00041,CUST0660,North,Chandigarh,P020,Fitness Dumbbells,Sports,1,1999,0.05,1899.05,418.59,Standard,2023-06-20,2023-06-25,3
ORD00042,CUST0102,North,Lucknow,P013,Study Table,Furniture,3,6999,0.2,16797.6,4165.65,Standard,2023-05-21,2023-05-26,4
ORD00043,CUST0221,North,Lucknow,P001,Wireless Earbuds,Electronics,4,1299,0.1,4676.4,596.59,Standard,2024-01-18,2024-01-23,4
ORD00044,CUST0367,South,Bangalore,P003,USB-C Hub,Electronics,4,699,0.1,2516.4,739.78,Standard,2023-08-31,2023-09-05,4
ORD00045,CUST0652,East,Patna,P020,Fitness Dumbbells,Sports,1,1999,0,1999,732.98,Standard,2023-09-24,2023-09-29,4
ORD00046,CUST0450,East,Guwahati,P016,Data Science Handbook,Books,2,699,0.15,1188.3,373.03,Standard,2023-12-10,2023-12-15,1
ORD00047,CUST0850,West,Surat,P012,Bookshelf 5-Tier,Furniture,5,4599,0,22995,6842.58,Standard,2024-02-13,2024-02-18,4
ORD00048,CUST0661,South,Chennai,P015,Python Programming,Books,4,499,0.1,1796.4,405.85,Same Day,2023-06-09,2023-06-09,4
ORD00049,CUST1125,South,Chennai,P014,Bedside Table,Furniture,4,3299,0,13196,2979.29,Express,2023-03-07,2023-03-09,4
ORD00050,CUST0960,West,Mumbai,P009,Yoga Pants,Clothing,4,899,0.05,3416.2,1105.08,Standard,2023-05-29,2023-06-03,2
ORD00051,CUST0032,West,Surat,P010,Cotton Hoodie,Clothing,5,1299,0.05,6170.25,1865.69,Standard,2023-07-26,2023-07-31,4
ORD00052,CUST1010,West,Surat,P009,Yoga Pants,Clothing,4,899,0.1,3236.4,855.7,Overnight,2023-10-19,2023-10-20,4
ORD00053,CUST0269,East,Ranchi,P013,Study Table,Furniture,1,6999,0.15,5949.15,1213.98,Express,2024-05-12,2024-05-14,4
ORD00054,CUST0194,North,Jaipur,P005,Webcam HD,Electronics,1,1599,0,1599,399.26,Overnight,2024-05-06,2024-05-07,4
ORD00055,CUST0394,Central,Indore,P010,Cotton Hoodie,Clothing,5,1299,0.1,5845.5,781.78,Standard,2024-05-24,2024-05-29,3
ORD00056,CUST0604,West,Surat,P012,Bookshelf 5-Tier,Furniture,3,4599,0.05,13107.15,4767.59,Overnight,2023-05-24,2023-05-25,4
ORD00057,CUST1132,South,Chennai,P019,Yoga Mat,Sports,4,699,0.15,2376.6,314.16,Express,2023-10-24,2023-10-26,3
ORD00058,CUST0104,North,Amritsar,P001,Wireless Earbuds,Electronics,2,1299,0.15,2208.3,684.38,Same Day,2023-01-24,2023-01-24,4
ORD00059,CUST0476,Central,Indore,P011,Office Desk Chair,Furniture,5,8999,0.15,38245.75,7007.66,Standard,2023-04-06,2023-04-11,5
ORD00060,CUST0938,South,Kochi,P005,Webcam HD,Electronics,1,1599,0,1599,512.96,Standard,2023-10-31,2023-11-05,3
ORD00061,CUST0814,East,Patna,P001,Wireless Earbuds,Electronics,2,1299,0.15,2208.3,288.34,Express,2023-03-02,2023-03-04,1
ORD00062,CUST0341,North,Lucknow,P016,Data Science Handbook,Books,4,699,0.2,2236.8,329.03,Express,2024-04-15,2024-04-17,5
ORD00063,CUST0583,West,Nagpur,P010,Cotton Hoodie,Clothing,3,1299,0,3897,680.67,Overnight,2023-01-07,2023-01-08,3
ORD00064,CUST1015,West,Pune,P003,USB-C Hub,Electronics,4,699,0.1,2516.4,712.36,Same Day,2023-06-07,2023-06-07,5
ORD00065,CUST0551,West,Nagpur,P010,Cotton Hoodie,Clothing,2,1299,0.25,1948.5,366.32,Standard,2024-01-03,2024-01-08,4
ORD00066,CUST0261,North,Lucknow,P002,Laptop Stand,Electronics,2,899,0.15,1528.3,345.21,Express,2024-01-11,2024-01-13,5
ORD00067,CUST0833,West,Pune,P017,Business Strategy,Books,3,399,0.2,957.6,218.12,Overnight,2023-08-15,2023-08-16,2
ORD00068,CUST0559,West,Surat,P003,USB-C Hub,Electronics,5,699,0.05,3320.25,925.97,Express,2023-08-03,2023-08-05,3
ORD00069,CUST0612,South,Chennai,P015,Python Programming,Books,2,499,0.15,848.3,283.03,Overnight,2023-10-16,2023-10-17,5
ORD00070,CUST0678,South,Hyderabad,P015,Python Programming,Books,2,499,0.1,898.2,125.31,Standard,2023-08-12,2023-08-17,5
ORD00071,CUST0353,Central,Gwalior,P010,Cotton Hoodie,Clothing,4,1299,0,5196,1750.7,Standard,2023-03-23,2023-03-28,4
ORD00072,CUST0004,North,Jaipur,P008,Denim Jacket,Clothing,4,1799,0.1,6476.4,1817.89,Express,2024-02-20,2024-02-22,2
ORD00073,CUST0142,North,Chandigarh,P019,Yoga Mat,Sports,2,699,0.2,1118.4,249.06,Express,2023-05-18,2023-05-20,4
ORD00074,CUST0807,South,Chennai,P008,Denim Jacket,Clothing,5,1799,0.15,7645.75,2459.13,Express,2023-07-30,2023-08-01,3
ORD00075,CUST0150,East,Guwahati,P007,Women's Kurta Set,Clothing,2,999,0,1998,371.38,Standard,2023-09-16,2023-09-21,4
ORD00076,CUST0395,South,Hyderabad,P012,Bookshelf 5-Tier,Furniture,3,4599,0.05,13107.15,3913.64,Standard,2023-01-31,2023-02-05,5
ORD00077,CUST1125,South,Chennai,P007,Women's Kurta Set,Clothing,2,999,0.15,1698.3,479.48,Same Day,2024-04-23,2024-04-23,4
ORD00078,CUST0795,North,Jaipur,P010,Cotton Hoodie,Clothing,4,1299,0.1,4676.4,1072.13,Standard,2023-06-11,2023-06-16,4
ORD00079,CUST0833,West,Pune,P020,Fitness Dumbbells,Sports,5,1999,0,9995,1929.36,Overnight,2023-06-20,2023-06-21,5
ORD00080,CUST0217,South,Kochi,P016,Data Science Handbook,Books,3,699,0.15,1782.45,438.54,Express,2023-06-05,2023-06-07,4
ORD00081,CUST0352,East,Patna,P006,Men's Running Shoes,Clothing,1,1899,0,1899,508.76,Express,2024-01-02,2024-01-04,4
ORD00082,CUST1064,East,Guwahati,P003,USB-C Hub,Electronics,3,699,0.1,1887.3,626.03,Express,2024-01-26,2024-01-28,5
ORD00083,CUST1049,West,Ahmedabad,P004,Mechanical Keyboard,Electronics,1,2499,0,2499,611.31,Overnight,2023-06-14,2023-06-15,4
ORD00084,CUST0314,West,Mumbai,P002,Laptop Stand,Electronics,1,899,0.15,764.15,95.72,Express,2024-01-13,2024-01-15,5
ORD00085,CUST0125,North,Chandigarh,P017,Business Strategy,Books,5,399,0,1995,412.63,Standard,2023-09-03,2023-09-08,4
ORD00086,CUST1066,Central,Jabalpur,P002,Laptop Stand,Electronics,1,899,0.05,854.05,229.98,Same Day,2024-01-07,2024-01-07,4
ORD00087,CUST0952,East,Bhubaneswar,P019,Yoga Mat,Sports,2,699,0.05,1328.1,396.49,Standard,2023-11-02,2023-11-07,5
ORD00088,CUST0621,North,Chandigarh,P019,Yoga Mat,Sports,1,699,0.25,524.25,95.3,Standard,2024-04-16,2024-04-21,5
ORD00089,CUST0055,South,Chennai,P003,USB-C Hub,Electronics,5,699,0.1,3145.5,939.64,Overnight,2024-04-04,2024-04-05,4
ORD00090,CUST0224,West,Nagpur,P008,Denim Jacket,Clothing,1,1799,0.1,1619.1,346.04,Standard,2024-01-31,2024-02-05,3
ORD00091,CUST0400,South,Coimbatore,P007,Women's Kurta Set,Clothing,2,999,0.05,1898.1,499.78,Standard,2023-08-20,2023-08-25,3
ORD00092,CUST1141,South,Kochi,P010,Cotton Hoodie,Clothing,4,1299,0.1,4676.4,1632.21,Standard,2023-11-05,2023-11-10,5
ORD00093,CUST1110,East,Ranchi,P015,Python Programming,Books,3,499,0.05,1422.15,172.57,Overnight,2023-10-25,2023-10-26,5
ORD00094,CUST0438,West,Surat,P019,Yoga Mat,Sports,4,699,0.15,2376.6,734.16,Standard,2024-02-16,2024-02-21,3
ORD00095,CUST1177,North,Jaipur,P003,USB-C Hub,Electronics,4,699,0,2796,935.02,Express,2023-09-09,2023-09-11,3
ORD00096,CUST0481,North,Chandigarh,P001,Wireless Earbuds,Electronics,1,1299,0.15,1104.15,225.56,Standard,2023-03-25,2023-03-30,4
ORD00097,CUST0849,South,Bangalore,P015,Python Programming,Books,2,499,0.15,848.3,112.94,Standard,2023-11-19,2023-11-24,3
ORD00098,CUST0021,North,Delhi,P003,USB-C Hub,Electronics,3,699,0.05,1992.15,262.31,Standard,2023-07-09,2023-07-14,4
ORD00099,CUST0366,North,Lucknow,P003,USB-C Hub,Electronics,1,699,0,699,143.71,Standard,2023-03-25,2023-03-30,5
ORD00100,CUST1068,West,Surat,P010,Cotton Hoodie,Clothing,1,1299,0,1299,204.49,Express,2023-01-19,2023-01-21,4
ORD00101,CUST0481,North,Chandigarh,P004,Mechanical Keyboard,Electronics,5,2499,0.1,11245.5,1980.24,Express,2024-03-10,2024-03-12,2
ORD00102,CUST0472,North,Chandigarh,P009,Yoga Pants,Clothing,1,899,0.15,764.15,221.46,Express,2023-03-22,2023-03-24,4
ORD00103,CUST0558,West,Ahmedabad,P002,Laptop Stand,Electronics,2,899,0.05,1708.1,351.41,Overnight,2023-12-30,2023-12-31,1
ORD00104,CUST0420,East,Bhubaneswar,P011,Office Desk Chair,Furniture,4,8999,0,35996,7642.28,Standard,2023-08-08,2023-08-13,3
ORD00105,CUST0365,Central,Jabalpur,P002,Laptop Stand,Electronics,2,899,0.05,1708.1,556.81,Express,2023-12-26,2023-12-28,5
ORD00106,CUST0252,East,Kolkata,P015,Python Programming,Books,2,499,0,998,185.89,Express,2023-09-06,2023-09-08,3
ORD00107,CUST1082,North,Lucknow,P017,Business Strategy,Books,3,399,0,1197,266.16,Same Day,2024-05-11,2024-05-11,4
ORD00108,CUST0515,East,Patna,P014,Bedside Table,Furniture,1,3299,0.05,3134.05,754.07,Express,2023-05-10,2023-05-12,4
ORD00109,CUST0763,South,Hyderabad,P015,Python Programming,Books,1,499,0.05,474.05,102.2,Express,2023-11-07,2023-11-09,1
ORD00110,CUST0798,South,Coimbatore,P017,Business Strategy,Books,5,399,0.05,1895.25,331.09,Express,2023-09-13,2023-09-15,2
