customer_id,frequency,monetary,avg_rating,last_order,first_order,segment,R_score,F_score,M_score,RFM_score
CUST0343,9,52406.9,4.33,2024-05-05,2023-01-15,Medium Value,5,4,5,14
CUST0060,9,40487.0,4.33,2024-02-22,2023-01-30,Medium Value,5,4,5,14
CUST1068,11,37497.9,3.82,2024-06-10,2023-01-19,Medium Value,5,5,5,15
CUST0659,4,14231.55,3.75,2023-07-23,2023-02-13,Low Value,2,1,2,5
CUST1117,5,46214.0,4.8,2024-01-09,2023-03-30,Low Value,5,1,5,11
CUST0751,7,16796.55,3.43,2024-04-22,2023-01-26,Medium Value,2,3,2,7
CUST1139,10,52184.95,4.1,2024-04-22,2023-02-19,Medium Value,5,5,5,15
CUST0651,8,58839.65,3.63,2024-06-12,2023-02-04,Medium Value,5,3,5,13
CUST0426,5,13020.65,3.0,2024-02-12,2023-03-10,Low Value,1,1,1,3
CUST0670,10,21118.2,4.3,2024-06-24,2023-03-01,Medium Value,3,5,3,11
CUST0063,7,17251.95,4.14,2024-04-09,2023-01-20,Medium Value,2,3,2,7
CUST0484,9,28661.3,4.22,2024-06-14,2023-02-05,Medium Value,4,4,4,12
CUST0520,9,30629.25,3.89,2024-06-10,2023-03-06,Medium Value,4,4,4,12
CUST0872,7,46591.2,3.86,2024-04-01,2023-04-17,Medium Value,5,3,5,13
CUST0968,8,23318.1,3.25,2024-06-16,2023-01-07,Medium Value,3,3,3,9
CUST0457,9,95033.0,3.89,2024-02-26,2023-02-18,Medium Value,5,4,5,14
CUST0649,7,19585.45,3.71,2024-04-22,2023-01-30,Medium Value,2,3,2,7
CUST0381,9,29047.65,4.0,2023-10-20,2023-02-24,Medium Value,4,4,4,12
CUST0019,5,20030.4,3.2,2024-06-22,2023-04-12,Low Value,3,1,3,7
CUST1081,7,17325.3,3.86,2024-05-21,2023-03-29,Medium Value,2,3,2,7
CUST0297,3,11064.65,5.0,2024-04-09,2023-07-26,Low Value,1,1,1,3
CUST0144,5,14602.05,3.6,2024-05-05,2023-06-28,Low Value,2,1,2,5
CUST0310,9,67568.3,3.22,2024-05-12,2023-02-03,Medium Value,5,4,5,14
CUST0867,9,61260.85,4.11,2024-06-07,2023-01-31,Medium Value,5,4,5,14
CUST0352,7,32808.55,4.43,2024-06-10,2023-01-27,Medium Value,4,3,4,11
CUST0628,7,62742.0,3.43,2024-06-02,2023-01-21,Medium Value,5,3,5,13
CUST0221,6,25180.4,4.33,2024-05-17,2023-04-25,Medium Value,3,2,3,8
CUST0736,8,20247.5,4.0,2024-06-05,2023-01-19,Medium Value,3,3,3,9
CUST0395,10,47003.7,3.5,2024-06-11,2023-01-11,Medium Value,5,5,5,15
CUST0448,9,27833.15,3.44,2024-04-12,2023-03-01,Medium Value,4,4,4,12
CUST0209,8,27979.9,4.38,2024-04-27,2023-06-07,Medium Value,4,3,4,11
CUST0546,7,15565.3,4.57,2024-04-05,2023-02-26,Medium Value,2,3,2,7
CUST0874,6,19040.25,4.17,2024-02-12,2023-04-11,Medium Value,2,2,2,6
CUST0783,13,30364.4,3.92,2023-12-21,2023-02-25,Medium Value,4,5,4,13
CUST0464,9,41988.95,4.0,2024-05-20,2023-05-20,Medium Value,5,4,5,14
CUST1164,7,15098.45,3.86,2024-06-17,2023-01-28,Medium Value,2,3,2,7
CUST0597,6,38743.7,4.5,2024-05-01,2023-03-11,Medium Value,5,2,5,12
CUST0355,4,7063.85,3.5,2023-08-31,2023-03-03,Low Value,1,1,1,3
CUST0370,11,25220.8,4.45,2024-04-17,2023-01-13,Medium Value,3,5,3,11
CUST0154,10,36584.95,3.6,2024-04-27,2023-04-22,Medium Value,4,5,4,13
CUST0660,7,16490.4,3.43,2024-03-13,2023-01-21,Medium Value,2,3,2,7
