cohort_month,months_since_join,active_customers,cohort_size,retention_rate
2023-01,0,341,341,100.0
2023-02,0,376,376,100.0
2023-03,0,374,374,100.0
2023-04,0,390,390,100.0
2023-05,0,439,439,100.0
2023-06,0,433,433,100.0
2023-07,0,401,401,100.0
2023-08,0,408,408,100.0
2023-09,0,410,410,100.0
2023-10,0,402,402,100.0
2023-11,0,389,389,100.0
2023-12,0,407,407,100.0
2024-01,0,368,368,100.0
2024-02,0,385,385,100.0
2024-03,0,428,428,100.0
2024-04,0,387,387,100.0
2024-05,0,383,383,100.0
2024-06,0,333,333,100.0
