customer_id,total_orders,lifetime_value,last_order_date,avg_rating,churn_risk
CUST0343,9,52406.9,2024-05-05,4.33,Loyal
CUST0060,9,40487.0,2024-02-22,4.33,Loyal
CUST1068,11,37497.9,2024-06-10,3.82,Loyal
CUST0659,4,14231.55,2023-07-23,3.75,Stable
CUST1117,5,46214.0,2024-01-09,4.8,Stable
CUST0751,7,16796.55,2024-04-22,3.43,Stable
CUST1139,10,52184.95,2024-04-22,4.1,Loyal
CUST0651,8,58839.65,2024-06-12,3.63,Loyal
CUST0426,5,13020.65,2024-02-12,3.0,Stable
CUST0670,10,21118.2,2024-06-24,4.3,Loyal
CUST0063,7,17251.95,2024-04-09,4.14,Stable
CUST0484,9,28661.3,2024-06-14,4.22,Loyal
CUST0520,9,30629.25,2024-06-10,3.89,Loyal
CUST0872,7,46591.2,2024-04-01,3.86,Stable
CUST0968,8,23318.1,2024-06-16,3.25,Loyal
CUST0457,9,95033.0,2024-02-26,3.89,Loyal
CUST0649,7,19585.45,2024-04-22,3.71,Stable
CUST0381,9,29047.65,2023-10-20,4.0,Loyal
CUST0019,5,20030.4,2024-06-22,3.2,Stable
CUST1081,7,17325.3,2024-05-21,3.86,Stable
CUST0297,3,11064.65,2024-04-09,5.0,At Risk
CUST0144,5,14602.05,2024-05-05,3.6,Stable
CUST0310,9,67568.3,2024-05-12,3.22,Loyal
CUST0867,9,61260.85,2024-06-07,4.11,Loyal
CUST0352,7,32808.55,2024-06-10,4.43,Stable
CUST0628,7,62742.0,2024-06-02,3.43,Stable
CUST0221,6,25180.4,2024-05-17,4.33,Stable
CUST0736,8,20247.5,2024-06-05,4.0,Loyal
CUST0395,10,47003.7,2024-06-11,3.5,Loyal
CUST0448,9,27833.15,2024-04-12,3.44,Loyal
CUST0209,8,27979.9,2024-04-27,4.38,Loyal
CUST0546,7,15565.3,2024-04-05,4.57,Stable
CUST0874,6,19040.25,2024-02-12,4.17,Stable
CUST0783,13,30364.4,2023-12-21,3.92,Loyal
CUST0464,9,41988.95,2024-05-20,4.0,Loyal
CUST1164,7,15098.45,2024-06-17,3.86,Stable
CUST0597,6,38743.7,2024-05-01,4.5,Stable
CUST0355,4,7063.85,2023-08-31,3.5,Stable
CUST0370,11,25220.8,2024-04-17,4.45,Loyal
CUST0154,10,36584.95,2024-04-27,3.6,Loyal
CUST0660,7,16490.4,2024-03-13,3.43,Stable
CUST0102,9,50599.55,2023-11-06,4.0,Loyal
CUST0367,11,52816.05,2024-03-16,4.18,Loyal
CUST0652,9,38136.85,2024-04-21,3.56,Loyal
CUST0450,6,17338.65,2024-03-04,3.5,Stable
CUST0850,10,64293.05,2024-04-22,2.9,Loyal
CUST0661,8,21530.55,2024-04-03,4.0,Loyal
CUST1125,12,60583.7,2024-05-01,3.75,Loyal
CUST0960,12,46674.85,2024-05-18,3.08,Loyal
CUST0032,7,21681.0,2024-05-17,3.0,Stable
CUST1010,6,45754.9,2024-04-08,3.0,Stable
CUST0269,12,43597.55,2024-06-07,4.0,Loyal
CUST0194,5,12540.0,2024-06-22,3.8,Stable
CUST0394,9,29676.45,2024-06-05,3.67,Loyal
CUST0604,6,46920.0,2024-05-22,3.33,Stable
CUST1132,6,16528.05,2024-04-28,4.17,Stable
CUST0104,11,31895.8,2024-06-11,4.0,Loyal
CUST0476,5,46332.1,2024-05-09,4.4,Stable
CUST0938,8,19433.55,2024-05-06,3.13,Loyal
CUST0814,8,18563.1,2024-06-18,3.63,Loyal
CUST0341,4,11282.1,2024-04-15,3.75,Stable
CUST0583,8,20853.45,2024-03-16,4.0,Loyal
CUST1015,12,47667.3,2024-05-17,3.83,Loyal
CUST0551,7,21217.45,2024-03-05,4.29,Stable
CUST0261,5,8484.05,2024-02-17,4.2,Stable
CUST0833,7,25720.7,2024-06-04,3.71,Stable
CUST0559,10,36774.15,2024-05-22,3.7,Loyal
CUST0612,4,8641.5,2023-10-16,3.0,Stable
CUST0678,13,48332.95,2024-06-10,3.69,Loyal
CUST0353,15,44054.3,2024-05-22,3.93,Loyal
CUST0004,10,34920.8,2024-03-10,3.2,Loyal
CUST0142,7,31827.5,2024-03-27,3.57,Stable
CUST0807,10,41613.7,2024-06-11,4.0,Loyal
CUST0150,11,19975.85,2024-05-24,3.45,Loyal
CUST0795,5,15492.55,2024-06-18,4.0,Stable
CUST0217,10,34652.45,2024-06-09,4.2,Loyal
CUST1064,8,34773.25,2024-06-17,4.13,Loyal
CUST1049,7,22774.9,2024-05-12,3.86,Stable
CUST0314,10,31789.85,2024-03-22,4.0,Loyal
CUST0125,12,41218.55,2024-04-04,4.0,Loyal
CUST1066,11,36586.95,2024-04-10,3.73,Loyal
CUST0952,8,35490.9,2024-05-28,4.75,Loyal
CUST0621,10,47153.25,2024-04-16,4.3,Loyal
CUST0055,9,48055.55,2024-05-14,3.44,Loyal
CUST0224,6,10996.2,2024-03-25,3.67,Stable
CUST0400,6,15720.65,2024-06-02,4.0,Stable
CUST1141,11,57096.6,2024-06-15,4.0,Loyal
CUST1110,7,53663.8,2024-05-31,4.14,Stable
CUST0438,9,20207.9,2024-06-12,3.44,Loyal
CUST1177,9,26283.4,2024-06-10,3.89,Loyal
CUST0481,11,51266.0,2024-06-21,3.55,Loyal
CUST0849,8,43323.3,2024-05-06,3.75,Loyal
CUST0021,3,3029.55,2024-05-12,4.67,At Risk
CUST0366,9,17401.5,2024-06-21,3.67,Loyal
CUST0472,8,25815.0,2024-04-11,4.38,Loyal
CUST0558,4,10921.85,2024-04-22,3.25,Stable
CUST0420,6,81515.4,2024-03-07,3.17,Stable
CUST0365,7,14724.95,2024-05-21,3.71,Stable
CUST0252,11,29177.25,2024-05-06,3.36,Loyal
CUST1082,6,18085.05,2024-05-14,4.33,Stable
CUST0515,9,27017.05,2024-06-24,3.89,Loyal
CUST0763,6,17428.4,2023-11-07,3.17,Stable
CUST0798,7,27844.5,2024-04-29,3.29,Stable
CUST0876,6,19252.0,2024-06-17,3.83,Stable
CUST0637,7,12855.5,2024-05-25,4.29,Stable
CUST0151,4,10724.25,2023-06-13,4.75,Stable
CUST0452,10,27282.5,2024-06-23,4.1,Loyal
CUST0793,3,8866.55,2024-06-06,4.33,At Risk
CUST0302,9,21498.3,2024-04-20,4.44,Loyal
CUST0207,7,26907.3,2024-03-27,4.0,Stable
CUST0789,6,19661.1,2024-05-30,4.33,Stable
CUST0441,4,13520.85,2023-11-30,3.75,Stable
CUST0459,12,82624.45,2024-03-05,3.75,Loyal
CUST1043,7,17916.55,2024-05-13,4.43,Stable
CUST1072,8,35939.7,2024-04-01,3.75,Loyal
CUST0527,8,34648.15,2024-05-19,4.13,Loyal
CUST0378,11,37121.5,2024-04-19,4.09,Loyal
CUST0196,8,17121.1,2024-03-19,4.0,Loyal
CUST0944,11,46091.0,2024-04-01,4.0,Loyal
CUST1029,8,36429.95,2024-06-16,3.38,Loyal
CUST0713,5,22856.85,2024-05-31,4.4,Stable
CUST0784,7,28877.0,2023-12-26,3.57,Stable
CUST0663,7,35168.95,2024-05-31,4.14,Stable
CUST0374,6,23577.45,2024-06-03,3.5,Stable
CUST0082,9,71755.7,2024-05-27,3.78,Loyal
CUST1191,6,10668.75,2024-05-26,4.5,Stable
CUST0493,6,15613.3,2024-06-13,3.83,Stable
CUST0342,5,42764.7,2024-05-09,4.0,Stable
CUST0496,9,35723.05,2024-04-17,4.33,Loyal
CUST0083,12,59474.85,2024-05-27,3.58,Loyal
CUST0271,10,53190.15,2024-06-13,3.8,Loyal
CUST0654,7,26790.9,2024-05-10,4.0,Stable
CUST0787,7,21478.1,2024-03-23,3.86,Stable
CUST1192,11,35623.95,2024-06-19,4.36,Loyal
CUST0433,9,41793.95,2024-04-25,3.78,Loyal
CUST1070,6,14793.75,2024-04-19,4.0,Stable
CUST0903,8,18883.15,2024-04-02,3.38,Loyal
CUST0133,11,37114.35,2024-06-23,3.45,Loyal
CUST0672,7,13698.2,2024-05-22,4.14,Stable
CUST0279,8,10072.55,2024-03-16,4.0,Loyal
CUST1045,8,21796.9,2024-06-01,4.13,Loyal
CUST0495,10,21511.8,2024-05-02,4.6,Loyal
CUST0992,11,44892.65,2024-06-11,4.09,Loyal
CUST0289,12,44483.7,2024-05-14,3.75,Loyal
CUST0008,7,21909.7,2024-06-11,3.86,Stable
CUST1071,9,34556.8,2024-06-13,3.56,Loyal
CUST0220,5,19078.65,2023-12-20,3.4,Stable
CUST0069,7,21141.15,2024-06-02,3.57,Stable
CUST0333,9,24102.05,2024-04-07,4.0,Loyal
CUST0572,11,38440.85,2024-06-13,3.82,Loyal
CUST0908,14,63724.45,2024-04-24,3.43,Loyal
CUST0064,4,16072.25,2024-03-29,4.5,Stable
CUST0411,8,33174.75,2024-05-24,4.5,Loyal
CUST0575,11,40243.35,2024-05-28,4.0,Loyal
CUST1014,6,25015.8,2023-09-24,4.33,Stable
CUST0139,7,20803.2,2024-03-04,3.57,Stable
CUST1069,4,4604.2,2023-11-29,4.0,Stable
CUST0160,6,48341.45,2024-05-16,4.0,Stable
CUST1127,10,61215.0,2024-06-23,4.3,Loyal
CUST0712,11,59627.95,2024-04-18,3.73,Loyal
CUST0106,12,41611.45,2024-05-27,3.92,Loyal
CUST0338,9,22439.25,2024-05-16,3.67,Loyal
CUST0569,11,30184.65,2024-06-12,3.09,Loyal
CUST0675,10,42549.3,2024-06-12,3.3,Loyal
CUST0204,6,9068.1,2024-06-12,4.33,Stable
CUST0031,5,12597.2,2024-02-10,4.6,Stable
CUST0002,11,69831.35,2024-04-29,3.73,Loyal
CUST0587,8,20265.15,2024-04-30,4.25,Loyal
CUST0589,13,53831.65,2024-06-21,3.54,Loyal
CUST0778,13,58410.6,2024-06-13,3.85,Loyal
CUST0077,10,32427.1,2024-05-10,3.7,Loyal
CUST0969,11,35119.95,2024-04-07,4.18,Loyal
CUST0647,5,17833.5,2024-01-31,4.0,Stable
CUST0619,5,16806.7,2024-06-22,3.8,Stable
CUST1176,7,25913.0,2024-05-09,3.43,Stable
CUST1187,13,40568.75,2024-05-22,3.69,Loyal
CUST1076,4,9379.45,2024-02-09,4.0,Stable
CUST0489,7,15873.7,2024-03-18,4.0,Stable
CUST0088,5,9759.3,2024-03-18,4.0,Stable
